iter	Passed	Remaining
0	155	46494
1	168	25116
2	191	18914
3	199	14732
4	211	12458
5	221	10838
6	228	9545
7	244	8926
8	251	8144
9	262	7609
10	283	7454
11	290	6978
12	307	6785
13	314	6426
14	322	6120
15	334	5941
16	347	5785
17	354	5551
18	373	5528
19	382	5358
20	398	5290
21	406	5141
22	412	4973
23	418	4813
24	425	4678
25	431	4545
26	438	4429
27	444	4318
28	450	4214
29	458	4125
30	465	4035
31	471	3951
32	479	3879
33	485	3796
34	492	3729
35	499	3659
36	507	3609
37	513	3543
38	521	3487
39	530	3451
40	546	3450
41	556	3418
42	565	3380
43	573	3339
44	581	3294
45	589	3257
46	597	3216
47	605	3179
48	612	3138
49	619	3098
50	626	3059
51	635	3028
52	643	2997
53	653	2976
54	663	2956
55	673	2933
56	680	2899
57	688	2873
58	697	2847
59	704	2819
60	712	2793
61	722	2771
62	731	2750
63	738	2723
64	746	2698
65	753	2672
66	761	2647
67	768	2622
68	774	2594
69	781	2568
70	787	2539
71	795	2518
72	801	2492
73	807	2465
74	814	2442
75	820	2419
76	829	2401
77	835	2378
78	841	2352
79	847	2330
80	855	2313
81	862	2293
82	869	2272
83	876	2254
84	883	2233
85	889	2213
86	897	2196
87	903	2177
88	910	2159
89	916	2138
90	922	2117
91	929	2102
92	935	2082
93	942	2064
94	947	2044
95	953	2025
96	958	2006
97	963	1986
98	969	1967
99	974	1949
100	980	1931
101	985	1912
102	991	1896
103	997	1878
104	1002	1861
105	1007	1844
106	1013	1827
107	1018	1810
108	1023	1793
109	1028	1776
110	1034	1760
111	1040	1746
112	1045	1730
113	1051	1714
114	1056	1699
115	1061	1684
116	1066	1668
117	1072	1654
118	1078	1639
119	1083	1624
120	1088	1610
121	1093	1596
122	1099	1581
123	1104	1567
124	1109	1553
125	1114	1539
126	1120	1526
127	1125	1512
128	1131	1499
129	1136	1486
130	1141	1472
131	1146	1459
132	1152	1447
133	1157	1434
134	1162	1421
135	1168	1408
136	1173	1396
137	1178	1383
138	1185	1373
139	1190	1360
140	1195	1348
141	1201	1336
142	1206	1324
143	1211	1312
144	1217	1301
145	1222	1289
146	1227	1277
147	1233	1266
148	1238	1254
149	1243	1243
150	1249	1232
151	1254	1221
152	1259	1209
153	1264	1199
154	1270	1188
155	1275	1177
156	1281	1166
157	1286	1156
158	1291	1145
159	1297	1134
160	1302	1124
161	1307	1113
162	1312	1103
163	1318	1093
164	1323	1082
165	1328	1072
166	1333	1062
167	1339	1052
168	1344	1042
169	1349	1032
170	1354	1021
171	1360	1012
172	1365	1002
173	1370	992
174	1376	983
175	1381	973
176	1386	963
177	1392	954
178	1397	944
179	1402	934
180	1407	925
181	1412	916
182	1417	906
183	1423	897
184	1428	888
185	1433	878
186	1439	869
187	1444	860
188	1449	851
189	1454	842
190	1459	833
191	1464	824
192	1470	815
193	1475	806
194	1480	797
195	1485	788
196	1491	779
197	1496	770
198	1501	762
199	1506	753
200	1512	744
201	1517	736
202	1522	727
203	1528	719
204	1533	710
205	1538	702
206	1544	693
207	1549	685
208	1555	677
209	1561	669
210	1570	662
211	1577	654
212	1583	646
213	1588	638
214	1593	630
215	1598	621
216	1604	613
217	1609	605
218	1614	597
219	1619	588
220	1624	580
221	1629	572
222	1635	564
223	1640	556
224	1645	548
225	1650	540
226	1655	532
227	1660	524
228	1666	516
229	1671	508
230	1676	500
231	1682	493
232	1687	485
233	1692	477
234	1697	469
235	1702	461
236	1707	453
237	1713	446
238	1718	438
239	1723	430
240	1729	423
241	1734	415
242	1739	408
243	1745	400
244	1750	392
245	1755	385
246	1760	377
247	1765	370
248	1771	362
249	1777	355
250	1782	347
251	1787	340
252	1792	333
253	1797	325
254	1803	318
255	1808	310
256	1813	303
257	1818	296
258	1823	288
259	1829	281
260	1834	274
261	1839	266
262	1845	259
263	1850	252
264	1855	245
265	1861	237
266	1866	230
267	1871	223
268	1877	216
269	1882	209
270	1888	202
271	1893	194
272	1898	187
273	1903	180
274	1909	173
275	1914	166
276	1919	159
277	1925	152
278	1930	145
279	1935	138
280	1941	131
281	1946	124
282	1951	117
283	1957	110
284	1962	103
285	1968	96
286	1973	89
287	1978	82
288	1984	75
289	1989	68
290	1994	61
291	2000	54
292	2005	47
293	2010	41
294	2015	34
295	2021	27
296	2026	20
297	2031	13
298	2037	6
299	2042	0
