iter	Passed	Remaining
0	183	54926
1	210	31377
2	236	23365
3	262	19439
4	279	16515
5	297	14575
6	323	13526
7	337	12312
8	349	11287
9	370	10735
10	393	10337
11	408	9807
12	434	9589
13	443	9062
14	460	8747
15	468	8318
16	476	7930
17	486	7616
18	505	7478
19	520	7289
20	542	7214
21	557	7040
22	571	6884
23	583	6714
24	608	6694
25	617	6503
26	635	6424
27	642	6236
28	647	6050
29	653	5877
30	659	5718
31	664	5567
32	670	5426
33	677	5297
34	682	5169
35	688	5049
36	694	4934
37	700	4828
38	706	4725
39	711	4626
40	718	4536
41	730	4487
42	736	4402
43	742	4317
44	748	4239
45	753	4161
46	759	4088
47	765	4017
48	770	3947
49	776	3880
50	782	3818
51	787	3755
52	792	3695
53	799	3640
54	805	3587
55	811	3534
56	816	3481
57	822	3430
58	828	3385
59	834	3337
60	840	3294
61	846	3250
62	853	3209
63	860	3171
64	865	3129
65	871	3089
66	877	3053
67	883	3014
68	891	2983
69	896	2947
70	902	2910
71	908	2877
72	915	2845
73	921	2813
74	929	2787
75	935	2758
76	943	2732
77	950	2703
78	955	2673
79	962	2646
80	981	2652
81	986	2622
82	992	2594
83	997	2565
84	1003	2537
85	1009	2510
86	1014	2483
87	1019	2456
88	1025	2431
89	1031	2405
90	1036	2380
91	1042	2356
92	1047	2331
93	1053	2308
94	1059	2285
95	1065	2263
96	1070	2241
97	1076	2218
98	1081	2196
99	1087	2174
100	1092	2152
101	1097	2131
102	1103	2110
103	1108	2089
104	1114	2069
105	1119	2048
106	1124	2028
107	1130	2008
108	1135	1989
109	1140	1970
110	1146	1951
111	1151	1933
112	1156	1914
113	1162	1896
114	1168	1879
115	1173	1860
116	1178	1843
117	1183	1825
118	1188	1808
119	1194	1791
120	1200	1775
121	1205	1758
122	1225	1764
123	1232	1748
124	1237	1732
125	1242	1716
126	1248	1701
127	1254	1685
128	1259	1669
129	1265	1654
130	1270	1639
131	1276	1624
132	1282	1610
133	1287	1595
134	1292	1580
135	1298	1565
136	1303	1550
137	1308	1536
138	1313	1521
139	1319	1507
140	1324	1493
141	1329	1479
142	1334	1465
143	1340	1451
144	1345	1438
145	1350	1424
146	1356	1411
147	1361	1398
148	1366	1385
149	1372	1372
150	1377	1359
151	1383	1346
152	1388	1334
153	1394	1321
154	1399	1309
155	1404	1296
156	1410	1284
157	1415	1272
158	1420	1259
159	1425	1247
160	1431	1235
161	1436	1223
162	1441	1211
163	1446	1199
164	1461	1195
165	1466	1184
166	1472	1172
167	1477	1161
168	1483	1149
169	1488	1138
170	1495	1127
171	1500	1116
172	1505	1105
173	1511	1094
174	1516	1083
175	1522	1072
176	1527	1061
177	1532	1050
178	1538	1039
179	1543	1029
180	1549	1018
181	1554	1007
182	1560	997
183	1565	986
184	1571	976
185	1576	966
186	1581	955
187	1587	945
188	1592	935
189	1598	925
190	1604	915
191	1610	905
192	1616	896
193	1623	886
194	1628	877
195	1634	867
196	1640	857
197	1645	847
198	1651	838
199	1656	828
200	1662	818
201	1667	809
202	1673	799
203	1678	789
204	1683	780
205	1689	770
206	1706	766
207	1712	757
208	1717	747
209	1722	738
210	1728	728
211	1733	719
212	1738	710
213	1743	700
214	1749	691
215	1754	682
216	1760	673
217	1765	664
218	1770	654
219	1775	645
220	1781	636
221	1786	627
222	1791	618
223	1797	609
224	1802	600
225	1807	591
226	1813	583
227	1818	574
228	1823	565
229	1829	556
230	1834	547
231	1839	539
232	1844	530
233	1850	521
234	1855	513
235	1861	504
236	1866	496
237	1872	487
238	1916	489
239	1930	482
240	1955	478
241	1968	471
242	1983	465
243	2005	460
244	2012	451
245	2019	443
246	2025	434
247	2036	427
248	2054	420
249	2060	412
250	2066	403
251	2072	394
252	2078	386
253	2083	377
254	2088	368
255	2094	359
256	2099	351
257	2104	342
258	2110	334
259	2115	325
260	2120	316
261	2126	308
262	2131	299
263	2136	291
264	2142	282
265	2147	274
266	2152	266
267	2158	257
268	2164	249
269	2169	241
270	2175	232
271	2180	224
272	2194	217
273	2199	208
274	2204	200
275	2210	192
276	2215	183
277	2220	175
278	2225	167
279	2231	159
280	2236	151
281	2241	143
282	2247	134
283	2252	126
284	2257	118
285	2263	110
286	2268	102
287	2274	94
288	2279	86
289	2284	78
290	2290	70
291	2295	62
292	2300	54
293	2305	47
294	2311	39
295	2316	31
296	2321	23
297	2326	15
298	2332	7
299	2337	0
